 EQUATION NUMBER
 ---------------------
     node   dof    eqn
    1         -1.705E-02  5.354E-02  3.873E-03
    2          1.166E-02  6.215E-02 -1.822E-03
    3         -2.193E-02  3.727E-02  1.392E-02
    4          6.774E-03  4.588E-02  8.225E-03
 
 STRESS of ELEMENT :   11
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.333E+00 -2.994E-01 -8.508E-01
    2         -1.782E+00 -4.342E-01 -8.791E-01
    3         -1.357E+00 -3.802E-01 -1.008E+00
    4         -1.806E+00 -5.150E-01 -1.036E+00
 
 STRESS of ELEMENT :   12
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.252E+00 -7.361E-02 -7.674E-01
    2         -1.729E+00 -2.168E-01 -8.165E-01
    3         -1.294E+00 -2.140E-01 -9.344E-01
    4         -1.771E+00 -3.572E-01 -9.836E-01
 
 STRESS of ELEMENT :   13
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.093E+00  1.483E-02 -6.303E-01
    2         -1.354E+00 -6.339E-02 -6.287E-01
    3         -1.092E+00  1.950E-02 -7.216E-01
    4         -1.353E+00 -5.871E-02 -7.199E-01
 
 STRESS of ELEMENT :   14
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -8.677E-01  4.699E-02 -5.159E-01
    2         -1.009E+00  4.593E-03 -5.064E-01
    3         -8.595E-01  7.430E-02 -5.654E-01
    4         -1.001E+00  3.190E-02 -5.558E-01
 
 STRESS of ELEMENT :   15
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -6.494E-01  5.866E-02 -4.240E-01
    2         -7.203E-01  3.738E-02 -4.114E-01
    3         -6.386E-01  9.464E-02 -4.488E-01
    4         -7.096E-01  7.336E-02 -4.363E-01
 
 STRESS of ELEMENT :   16
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -4.583E-01  6.100E-02 -3.408E-01
    2         -4.862E-01  5.261E-02 -3.286E-01
    3         -4.479E-01  9.561E-02 -3.505E-01
    4         -4.758E-01  8.722E-02 -3.384E-01
 
 STRESS of ELEMENT :   17
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -2.997E-01  5.966E-02 -2.585E-01
    2         -3.023E-01  5.889E-02 -2.480E-01
    3         -2.907E-01  8.972E-02 -2.594E-01
    4         -2.933E-01  8.895E-02 -2.489E-01
 
 STRESS of ELEMENT :   18
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.734E-01  5.987E-02 -1.738E-01
    2         -1.647E-01  6.247E-02 -1.660E-01
    3         -1.667E-01  8.214E-02 -1.707E-01
    4         -1.580E-01  8.475E-02 -1.629E-01
 
 STRESS of ELEMENT :   19
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -7.721E-02  7.469E-02 -8.880E-02
    2         -6.717E-02  7.770E-02 -8.694E-02
    3         -7.561E-02  8.000E-02 -8.529E-02
    4         -6.558E-02  8.301E-02 -8.343E-02
 
 STRESS of ELEMENT :   20
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.404E-02  1.449E-01 -1.472E-02
    2         -2.100E-03  1.485E-01 -2.965E-02
    3         -2.684E-02  1.022E-01 -1.054E-02
    4         -1.490E-02  1.058E-01 -2.547E-02
 
 STRESS of ELEMENT :   21
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -8.043E-01 -2.365E-01 -9.150E-01
    2         -1.094E+00 -3.234E-01 -9.163E-01
    3         -8.054E-01 -2.403E-01 -1.016E+00
    4         -1.095E+00 -3.272E-01 -1.018E+00
 
 STRESS of ELEMENT :   22
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -7.573E-01 -1.215E-01 -9.016E-01
    2         -1.039E+00 -2.058E-01 -9.297E-01
    3         -7.814E-01 -2.017E-01 -1.000E+00
    4         -1.063E+00 -2.860E-01 -1.028E+00
 
 STRESS of ELEMENT :   23
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -6.964E-01 -9.997E-03 -8.236E-01
    2         -9.518E-01 -8.662E-02 -8.423E-01
    3         -7.124E-01 -6.347E-02 -9.130E-01
    4         -9.678E-01 -1.401E-01 -9.317E-01
 
 STRESS of ELEMENT :   24
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -5.955E-01  4.506E-02 -7.164E-01
    2         -7.771E-01 -9.410E-03 -7.184E-01
    3         -5.972E-01  3.943E-02 -7.800E-01
    4         -7.788E-01 -1.504E-02 -7.819E-01
 
 STRESS of ELEMENT :   25
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -4.710E-01  6.680E-02 -6.052E-01
    2         -5.936E-01  3.004E-02 -6.003E-01
    3         -4.668E-01  8.086E-02 -6.481E-01
    4         -5.893E-01  4.411E-02 -6.432E-01
 
 STRESS of ELEMENT :   26
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -3.476E-01  7.159E-02 -4.947E-01
    2         -4.266E-01  4.790E-02 -4.869E-01
    3         -3.409E-01  9.376E-02 -5.223E-01
    4         -4.199E-01  7.007E-02 -5.145E-01
 
 STRESS of ELEMENT :   27
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -2.361E-01  6.897E-02 -3.839E-01
    2         -2.843E-01  5.451E-02 -3.758E-01
    3         -2.292E-01  9.204E-02 -4.008E-01
    4         -2.774E-01  7.758E-02 -3.927E-01
 
 STRESS of ELEMENT :   28
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.401E-01  6.836E-02 -2.726E-01
    2         -1.671E-01  6.025E-02 -2.664E-01
    3         -1.348E-01  8.585E-02 -2.820E-01
    4         -1.619E-01  7.774E-02 -2.759E-01
 
 STRESS of ELEMENT :   29
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -6.076E-02  8.878E-02 -1.608E-01
    2         -7.328E-02  8.502E-02 -1.615E-01
